Amount,Tip,Gender,Smoker,Day,Time,Partysize,,,,
16.99,1.01,Female,No,Sun,Dinner,2,,,,
10.34,1.66,Male,No,Sun,Dinner,3,,,,
21.01,3.50,Male,No,Sun,Dinner,3,,,,
23.68,3.31,Mal,No,Sun,Dinner,2,,,,
24.59,3.61,Female,No,Sun,Dinner,4,,,,
25.29,4.71,Male,N,Sun,Dinner,4,,,,
8.77,2.00,Male,No,Sun,Dinner,2,,,,
26.88,3.12,Male,No,Sun,Dinner,4,,,,
15.04,1.96,Male,,Sun,Dinner,2,,,,
14.78,3.23,Male,No,Sun,Dinner,2,,,,
10.27,1.71,Male,No,Sun,Dinner,2,,,,
35.26,5.00,Female,No,Sun,Dinner,4,,,,
15.42,1.57,Male,No,Sun,Dinner,,,,,
18.43,3.00,Male,No,Sun,Dinner,4,,,,
14.83,3.02,Female,No,Sun,Dinner,2,,,,
21.58,3.92,Male,No,Sun,Dinner,2,,,,
10.33,1.67,Female,No,Sun,Dinner,3,,,,
16.29,3.71,Male,No,Sun,Dinner,3,,,,
16.97,3.50,Female,No,Sun,Dinner,3,,,,
20.65,3.35,Male,No,Sat,Dinner,3,,,,
17.92,4.08,Male,No,Sat,Dinner,2,,,,
20.29,2.75,Female,No,Sat,Dinner,2,,,,
15.77,2.23,Female,No,Sat,Dinner,2,,,,
39.42,7.58,Male,No,Sat,Dinner,4,,,,
19.82,3.18,Male,No,Sat,Dinner,2,,,,
17.81,2.34,Male,No,Sat,Dinner,4,,,,
13.37,2.00,Male,No,Sat,Dinner,2,,,,
12.69,2.00,Male,,Sat,Dinner,2,,,,
21.70,4.30,Male,No,Sat,Dinner,2,,,,
19.65,3.00,Female,No,Sat,Dinner,2,,,,
9.55,1.45,Male,No,Sat,Dinner,2,,,,
18.35,2.50,Male,No,Sat,Dinner,4,,,,
15.06,3.00,Female,No,Sat,Dinner,2,,,,
20.69,2.45,Female,No,Sat,Dinner,4,,,,
17.78,3.27,Male,No,Sat,Dinner,2,,,,
24.06,3.60,Male,No,Sat,Dinner,3,,,,
16.31,2.00,Male,No,Sat,Dinner,3,,,,
16.93,3.07,Female,No,Sat,Dinner,3,,,,
18.69,2.31,Male,,Sat,Dinner,3,,,,
31.27,5.00,Male,No,Sat,Dinner,3,,,,
16.04,2.24,Male,No,Sat,Dinner,3,,,,
17.46,2.54,Male,No,Sun,Dinner,2,,,,
13.94,3.06,Male,No,Sun,Dinner,2,,,,
9.68,1.32,Male,,Sun,Dinner,2,,,,
30.40,5.60,Male,No,Sun,Dinner,4,,,,
18.29,3.00,Male,No,Sun,Dinner,2,,,,
22.23,5.00,Male,No,Sun,Dinner,,,,,
32.40,6.00,Male,No,Sun,Dinner,4,,,,
28.55,2.05,Male,No,Sun,Dinner,3,,,,
18.04,3.00,Male,No,Sun,Dinner,200,,,,
12.54,2.50,Male,No,Sun,Dinner,2,,,,
10.29,,Female,No,Sun,Dinner,2,,,,
34.81,5.20,Female,No,Sun,Dinner,4,,,,
9.94,1.56,Male,No,Sun,Dinner,2,,,,
25.56,4.34,Male,No,Sun,Dinner,4,,,,
19.49,3.51,Male,No,Sun,Dinner,2,,,,
38.01,3.00,Male,Yes,Sat,Dinner,4,,,,
26.41,1.50,Female,No,Sat,Dinner,2,,,,
11.24,1.76,Male,Yes,Sat,Dinner,2,,,,
48.27,6.73,Male,No,Sat,Dinner,4,,,,
20.29,3.21,Male,Yes,Sat,Dinner,2,,,,
13.81,2.00,Male,Yes,Sat,Dinner,2,,,,
11.02,1.98,Male,Yes,Sat,Dinner,2,,,,
18.29,3.76,Male,Yes,Sat,Dinner,4,,,,
17.59,2.64,Male,No,Sat,Dinner,3,,,,
20.08,3.15,Male,No,Sat,Dinner,3,,,,
16.45,2.47,Female,No,Sat,Dinner,2,,,,
3.07,1.00,Female,Yes,Sat,Dinner,1,,,,
20.23,2.01,Male,No,Sat,Dinner,2,,,,
15.01,2.09,Male,Yes,Sat,Dinner,2,,,,
12.02,1.97,Male,No,Sat,Dinner,2,,,,
17.07,3.00,Female,No,Sat,Dinner,3,,,,
26.86,3.14,Female,Yes,Saturday,Dinner,2,,,,
25.28,5.00,Female,Yes,Sat,Dinner,2,,,,
14.73,2.20,Female,No,Sat,Dinner,2,,,,
10.51,1.25,Male,No,Sat,Dinner,2,,,,
17.92,3.08,Male,Yes,Sat,Dinner,2,,,,
27.20,4.00,Male,No,Thur,Lunch,4,,,,
22.76,3.00,Male,No,Thur,Lunch,2,,,,
17.29,2.71,Male,No,Thur,Lunch,2,,,,
19.44,3.00,Male,Yes,Thur,Lunch,2,,,,
16.66,3.40,Male,No,Thur,Lunch,2,,,,
10.07,1.83,Female,No,Thur,Lunch,1,,,,
32.68,5.00,Male,Yes,Thur,Lunch,2,,,,
15.98,2.03,Male,N,Thur,Lunch,2,,,,
34.83,5.17,Female,No,Thur,Lunch,4,,,,
