Partysize,count,mean,median,std,min,max
0.2,1,17.89,17.89,,17.89,17.89
1.0,10,7.539,8.88,3.0341334109685354,1.01,10.07
2.0,193,18.146269430051813,16.4,11.061242987432715,5.75,117.81
3.0,85,25.00270588235294,23.1,8.685578960365895,10.33,50.81
4.0,46,28.09173913043478,25.725,9.062559438419107,9.96,48.33
5.0,7,27.032857142857143,28.15,7.930461765214164,18.89,41.19
6.0,3,36.50666666666667,34.3,10.731525210021795,27.05,48.17
10.0,1,13.28,13.28,,13.28,13.28
12.0,1,15.48,15.48,,15.48,15.48
,14,21.52857142857143,21.8,7.868389393538658,6.69,30.87
